source_repository_path,source_parquet,source_parquet_sha256,row_in_parquet,id,provider,description,semantic_group_sha256,audio_path,audio_path_extension,audio_path_matches_description,audio_path_contains_description,audio_bytes,audio_sha256,signature_status,dataset_license_id,dataset_license_scope,description_license_id,license_source_url,attribution_required,attribution_text,provider_rights_status,conservative_training_eligibility,training_eligible,noncommercial_training_status,competition_training_status,raw_audio_redistribution_status,probe_status,probe_error,codec,sample_rate_hz,channels,sample_fmt,bits_per_raw_sample,stream_duration_seconds,container_format,container_duration_seconds,container_bitrate_bps,decode_status,decode_error,decoded_pcm_f32le_sha256,decoded_sample_count,decoded_frame_count,decoded_duration_seconds,nonfinite_sample_count,peak_abs,rms,silent_sample_count,silent_sample_fraction_lt_1e_4,clipped_sample_count,clipped_sample_fraction_ge_0_999
data/train-00004-of-00210.parquet,train-00004-of-00210.parquet,46b536c90324584f321a0d95ac2654a043817fd1848cbb410d1e25ff7f8f25e2,1,00025,MusicGen Small,"ambient, electronica, deep",d0a5b366627de9f23879379f76298f877dab329815b26ecfded22c8871442cb1,ambient_electronica_deep.wav,.wav,True,True,1303098,b6fb2b339799e7d4fc8c73abe9c861c551de8e07b4fa7e1fca71f797bf36f614,RIFF_WAVE,CC-BY-4.0,generated_audio_per_pinned_revision_README,CC-BY-NC-SA-4.0,https://huggingface.co/datasets/disco-eth/AIME/blob/b84d4be5eda830b6eb714998569dba73530f2601/README.md,True,"AIME dataset, Grotschla et al., ETH Zurich, disco-eth/AIME, revision b84d4be5eda830b6eb714998569dba73530f2601, CC BY 4.0",GO_AIME_DIRECT_CC_BY_4_GRANT_NO_EXPLICIT_OUTPUT_RELICENSE_PROHIBITION_FOUND,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,True,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_CC_BY_4_WITH_ATTRIBUTION,OK,,pcm_f32le,32000,1,flt,,10.18,wav,10.18,,OK,,4b83b997b657fe32f28ac3a62406a000165277fda3e9d7c8e9705990e81a86da,325760,325760,10.18,0,0.3813951015472412,0.08134803299012704,323,0.0009915275049115913,0,0.0
data/train-00004-of-00210.parquet,train-00004-of-00210.parquet,46b536c90324584f321a0d95ac2654a043817fd1848cbb410d1e25ff7f8f25e2,2,00026,MusicGen Small,"pop, chillout, hiphop",48dc02e60ed634c9f7fb6f98b3a80ba6c1872c245daa03679bfa4380450d3291,pop_chillout_hiphop.wav,.wav,True,True,1303098,7eb8a4291a620c0b51650019dbf9a0ef79c5558bb740c61293af6d26cb161307,RIFF_WAVE,CC-BY-4.0,generated_audio_per_pinned_revision_README,CC-BY-NC-SA-4.0,https://huggingface.co/datasets/disco-eth/AIME/blob/b84d4be5eda830b6eb714998569dba73530f2601/README.md,True,"AIME dataset, Grotschla et al., ETH Zurich, disco-eth/AIME, revision b84d4be5eda830b6eb714998569dba73530f2601, CC BY 4.0",GO_AIME_DIRECT_CC_BY_4_GRANT_NO_EXPLICIT_OUTPUT_RELICENSE_PROHIBITION_FOUND,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,True,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_CC_BY_4_WITH_ATTRIBUTION,OK,,pcm_f32le,32000,1,flt,,10.18,wav,10.18,,OK,,f5ee4f3c24b663322cf9786c5cd367057841a93b4c9734faf10582a1ef3207bc,325760,325760,10.18,0,1.158729910850525,0.12575137278301457,1829,0.005614562868369351,16,4.911591355599214e-05
data/train-00004-of-00210.parquet,train-00004-of-00210.parquet,46b536c90324584f321a0d95ac2654a043817fd1848cbb410d1e25ff7f8f25e2,3,00027,MusicGen Small,"lounge, folk, acousticguitar",fb51ffd5a27fab901347a0c7b06a40da541775837d8fb3af2a77cd0e6e3c6e1f,lounge_folk_acousticguitar.wav,.wav,True,True,1303098,54174fcaf6c55f5e87c2cb5a7ebeabe6a5e5a39b801a2f692a9bde84ee7c4446,RIFF_WAVE,CC-BY-4.0,generated_audio_per_pinned_revision_README,CC-BY-NC-SA-4.0,https://huggingface.co/datasets/disco-eth/AIME/blob/b84d4be5eda830b6eb714998569dba73530f2601/README.md,True,"AIME dataset, Grotschla et al., ETH Zurich, disco-eth/AIME, revision b84d4be5eda830b6eb714998569dba73530f2601, CC BY 4.0",GO_AIME_DIRECT_CC_BY_4_GRANT_NO_EXPLICIT_OUTPUT_RELICENSE_PROHIBITION_FOUND,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,True,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_CC_BY_4_WITH_ATTRIBUTION,OK,,pcm_f32le,32000,1,flt,,10.18,wav,10.18,,OK,,5dab50825cfcfde2a0882186711c709017921f66c081ae4182692e6b3b35b7b3,325760,325760,10.18,0,0.3836591839790344,0.04456732665388217,647,0.001986124754420432,0,0.0
data/train-00004-of-00210.parquet,train-00004-of-00210.parquet,46b536c90324584f321a0d95ac2654a043817fd1848cbb410d1e25ff7f8f25e2,4,00028,MusicGen Small,"soundtrack, world, tribal",b27b920e4fdad6d5c9f3be0b81340fa1d6633efdffdfca059cd776bd52f42f78,soundtrack_world_tribal.wav,.wav,True,True,1303098,0738cec9b2b1c010163263d5f47d5e4b17e6bd97a96a17955be00a2f05440c27,RIFF_WAVE,CC-BY-4.0,generated_audio_per_pinned_revision_README,CC-BY-NC-SA-4.0,https://huggingface.co/datasets/disco-eth/AIME/blob/b84d4be5eda830b6eb714998569dba73530f2601/README.md,True,"AIME dataset, Grotschla et al., ETH Zurich, disco-eth/AIME, revision b84d4be5eda830b6eb714998569dba73530f2601, CC BY 4.0",GO_AIME_DIRECT_CC_BY_4_GRANT_NO_EXPLICIT_OUTPUT_RELICENSE_PROHIBITION_FOUND,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,True,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_CC_BY_4_WITH_ATTRIBUTION,OK,,pcm_f32le,32000,1,flt,,10.18,wav,10.18,,OK,,87756bfc091e8e1ed961f11c5616282afe318ee53fdee7112a02db1986aeeb40,325760,325760,10.18,0,0.3375242352485657,0.055596739498889554,3551,0.010900663064833007,0,0.0
data/train-00004-of-00210.parquet,train-00004-of-00210.parquet,46b536c90324584f321a0d95ac2654a043817fd1848cbb410d1e25ff7f8f25e2,5,00029,MusicGen Small,"electronic, soundtrack, celtic",32f46be93608ee74d65711151f3260d3ea9d85cc109ac21ec77a366b585ca9e9,electronic_soundtrack_celtic.wav,.wav,True,True,1303098,1e09cdeb31bac55f4ca2a48622392b69b907974dab2d65c450346ab061854218,RIFF_WAVE,CC-BY-4.0,generated_audio_per_pinned_revision_README,CC-BY-NC-SA-4.0,https://huggingface.co/datasets/disco-eth/AIME/blob/b84d4be5eda830b6eb714998569dba73530f2601/README.md,True,"AIME dataset, Grotschla et al., ETH Zurich, disco-eth/AIME, revision b84d4be5eda830b6eb714998569dba73530f2601, CC BY 4.0",GO_AIME_DIRECT_CC_BY_4_GRANT_NO_EXPLICIT_OUTPUT_RELICENSE_PROHIBITION_FOUND,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,True,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_CC_BY_4_WITH_ATTRIBUTION,OK,,pcm_f32le,32000,1,flt,,10.18,wav,10.18,,OK,,781c94a09560a13d8e28a8ce708a9cbb02ff6e1b0126a6100218367e8ba3b3f4,325760,325760,10.18,0,0.3654058873653412,0.037511519409608535,1041,0.0031956041257367386,0,0.0
data/train-00004-of-00210.parquet,train-00004-of-00210.parquet,46b536c90324584f321a0d95ac2654a043817fd1848cbb410d1e25ff7f8f25e2,6,00030,MusicGen Small,"electronic, easylistening, lounge",e8f4361aaa86dc95610990469168610506b916072d662ff748f2ac28ec4fd57c,electronic_easylistening_lounge.wav,.wav,True,True,1303098,6e3da6f54d9feeb828c8e4fac2b71f00ac48ea7c3043801bb78778cde60f7b74,RIFF_WAVE,CC-BY-4.0,generated_audio_per_pinned_revision_README,CC-BY-NC-SA-4.0,https://huggingface.co/datasets/disco-eth/AIME/blob/b84d4be5eda830b6eb714998569dba73530f2601/README.md,True,"AIME dataset, Grotschla et al., ETH Zurich, disco-eth/AIME, revision b84d4be5eda830b6eb714998569dba73530f2601, CC BY 4.0",GO_AIME_DIRECT_CC_BY_4_GRANT_NO_EXPLICIT_OUTPUT_RELICENSE_PROHIBITION_FOUND,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,True,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_CC_BY_4_WITH_ATTRIBUTION,OK,,pcm_f32le,32000,1,flt,,10.18,wav,10.18,,OK,,7815e594c5770c0682b7c812525807fd1df98ca812cbcd0a734c6d26f0ce0ba9,325760,325760,10.18,0,0.676551878452301,0.177560585526334,145,0.00044511296660117877,0,0.0
data/train-00004-of-00210.parquet,train-00004-of-00210.parquet,46b536c90324584f321a0d95ac2654a043817fd1848cbb410d1e25ff7f8f25e2,7,00031,MusicGen Small,"ambient, experimental, orchestral",2a611633710c508051f2fd50332d4220315ba549fa3a1f45f732369f701714c5,ambient_experimental_orchestral.wav,.wav,True,True,1303098,c8c4dde94cfc182f5ff521ca2c111e2a739a3eb38ad5f4ce7489eb469ab1b816,RIFF_WAVE,CC-BY-4.0,generated_audio_per_pinned_revision_README,CC-BY-NC-SA-4.0,https://huggingface.co/datasets/disco-eth/AIME/blob/b84d4be5eda830b6eb714998569dba73530f2601/README.md,True,"AIME dataset, Grotschla et al., ETH Zurich, disco-eth/AIME, revision b84d4be5eda830b6eb714998569dba73530f2601, CC BY 4.0",GO_AIME_DIRECT_CC_BY_4_GRANT_NO_EXPLICIT_OUTPUT_RELICENSE_PROHIBITION_FOUND,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,True,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_CC_BY_4_WITH_ATTRIBUTION,OK,,pcm_f32le,32000,1,flt,,10.18,wav,10.18,,OK,,ea40ff587c3148cff3530cc4698cbeb119fd0c52569209f05a5257dab3cbb95a,325760,325760,10.18,0,0.17643696069717407,0.03179048497973133,949,0.002913187622789784,0,0.0
data/train-00004-of-00210.parquet,train-00004-of-00210.parquet,46b536c90324584f321a0d95ac2654a043817fd1848cbb410d1e25ff7f8f25e2,8,00032,MusicGen Small,"electronic, oriental, synthesizer",6349f240f9ce71a7dcdcf932b4538daee13a09c82ca55b5ba765779039eb9cae,electronic_oriental_synthesizer.wav,.wav,True,True,1303098,18df95cab8e4ea0ab6c0905b5d992778f0307b8de8945f63f3687781b27494e7,RIFF_WAVE,CC-BY-4.0,generated_audio_per_pinned_revision_README,CC-BY-NC-SA-4.0,https://huggingface.co/datasets/disco-eth/AIME/blob/b84d4be5eda830b6eb714998569dba73530f2601/README.md,True,"AIME dataset, Grotschla et al., ETH Zurich, disco-eth/AIME, revision b84d4be5eda830b6eb714998569dba73530f2601, CC BY 4.0",GO_AIME_DIRECT_CC_BY_4_GRANT_NO_EXPLICIT_OUTPUT_RELICENSE_PROHIBITION_FOUND,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,True,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_CC_BY_4_WITH_ATTRIBUTION,OK,,pcm_f32le,32000,1,flt,,10.18,wav,10.18,,OK,,f909b4df4511f9378b64230caf0500203ab18a81e6c69f8b8d9722d68fccc6ba,325760,325760,10.18,0,0.1386997401714325,0.024478610158230475,2944,0.009037328094302554,0,0.0
data/train-00004-of-00210.parquet,train-00004-of-00210.parquet,46b536c90324584f321a0d95ac2654a043817fd1848cbb410d1e25ff7f8f25e2,9,00033,MusicGen Small,"pop, singersongwriter, classicalguitar",02a43823f48d78481bc238098b33f9f9a2b7667d1dabaf3e560ad1980d2c7738,pop_singersongwriter_classicalguitar.wav,.wav,True,True,1303098,1a555b07c78b284f9aeefd6afcbdac77ecf52deb0b72c955bb68ec8833fa71fa,RIFF_WAVE,CC-BY-4.0,generated_audio_per_pinned_revision_README,CC-BY-NC-SA-4.0,https://huggingface.co/datasets/disco-eth/AIME/blob/b84d4be5eda830b6eb714998569dba73530f2601/README.md,True,"AIME dataset, Grotschla et al., ETH Zurich, disco-eth/AIME, revision b84d4be5eda830b6eb714998569dba73530f2601, CC BY 4.0",GO_AIME_DIRECT_CC_BY_4_GRANT_NO_EXPLICIT_OUTPUT_RELICENSE_PROHIBITION_FOUND,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,True,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_CC_BY_4_WITH_ATTRIBUTION,OK,,pcm_f32le,32000,1,flt,,10.18,wav,10.18,,OK,,700b09f66d8cdc77efb0197a5bd3009e31b9bb6bbdd99ca4190a87b49df997d5,325760,325760,10.18,0,0.8019940853118896,0.08681504707214954,452,0.001387524557956778,0,0.0
data/train-00004-of-00210.parquet,train-00004-of-00210.parquet,46b536c90324584f321a0d95ac2654a043817fd1848cbb410d1e25ff7f8f25e2,10,00034,MusicGen Small,"classical, orchestral, christmas",ff9711f656e2224a55fe7c7578c11f0c1dc1d8e44814d096145782d7b53ce37c,classical_orchestral_christmas.wav,.wav,True,True,1303098,65e621acd9908021a47d13bf3722ff06938c1c421fddcb801ba449b266624259,RIFF_WAVE,CC-BY-4.0,generated_audio_per_pinned_revision_README,CC-BY-NC-SA-4.0,https://huggingface.co/datasets/disco-eth/AIME/blob/b84d4be5eda830b6eb714998569dba73530f2601/README.md,True,"AIME dataset, Grotschla et al., ETH Zurich, disco-eth/AIME, revision b84d4be5eda830b6eb714998569dba73530f2601, CC BY 4.0",GO_AIME_DIRECT_CC_BY_4_GRANT_NO_EXPLICIT_OUTPUT_RELICENSE_PROHIBITION_FOUND,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,True,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_WITH_AIME_CC_BY_4_ATTRIBUTION,GO_CC_BY_4_WITH_ATTRIBUTION,OK,,pcm_f32le,32000,1,flt,,10.18,wav,10.18,,OK,,57cebaa59b2e260320a7df9c7ca60b251504dac3a80a09eb1d55970af303d7a9,325760,325760,10.18,0,0.5437279343605042,0.12891839979321618,249,0.0007643664047151277,0,0.0
