duplicate_type,sha256,member_count,track_ids,all_strict_allowlist
decoded_pcm_sha256,0be035affbc22d76026beee9f5b4d4ad63f06085c228eff369e2e1a86840f0fc,2,120470;133016,False
decoded_pcm_sha256,325c6971a7d85fcf0f45b37c4fedfbe7ff214a844fa0289fa02e8f2577314d9e,2,114223;115290,False
decoded_pcm_sha256,7cf87ff726e225a234cc9c6e358c6cc1c96b202a5f907b8a1bc8a1acde58e384,2,114236;125820,True
decoded_pcm_sha256,852f9bb9d2ed1e6d669e23cbe545bea15c71cf2dc07c56f7e7e86077fd413494,2,114222;115292,False
decoded_pcm_sha256,88c7b82c64a90a8b61f403378c0f2ef4e84e2e9177ed42467794b2d0d2b323f1,2,144938;145707,True
decoded_pcm_sha256,9f3825ced546d1f12d9d0e1057c0f4529c25e476f93e27b71b224fe95ee3a0b7,2,57371;72149,False
decoded_pcm_sha256,a3e161ef88ae56065eae7e510ea5a0adaf0a8113c8ebf8795aae5db94b23c2ec,2,114235;125821,True
decoded_pcm_sha256,b2673cbf9b22ffc69735cb96ac45810cf4605bd8d8c81bd947fe429793fc07d8,2,130170;130650,True
decoded_pcm_sha256,b5aa2be4e8e4e39d0df6a9dfd84d845b494d0fe8cafe69eaac4eef525c21880c,2,114212;115294,False
decoded_pcm_sha256,bddfeabc81379ff7c7c4ca989160f29bc319759b071c5b97305ced63596e9233,2,144933;145702,True
decoded_pcm_sha256,bf36ec6105c1c3bdbd93355bb90b08835117f2d88ea151f3a0dd517b9b61fcbd,2,45102;51785,True
decoded_pcm_sha256,f5daebac0f5e2ced03685bc9d8ffa7c0dd51234bcb8bfeba3da00fdd255a2911,2,74348;86761,True
