seed,prediction_kind,head,weight,observed_count,positive_count,status,auc,eer,brier,log_loss,ece_15,selection_component,ADS,CPS,OfficialValidationProxy,RobustSelectionScore
20260830,label_independent_contract_fixture_non_model,FILE_FAKE_PROB,0.45,13540,11865,OK,0.5026852589140266,0.500890239070136,0.3245555789920608,0.9299246767925389,0.38713560870895913,0.49910976092986403,0.5095453807039529,0.49020127797303675,0.5076109704308613,0.5076109704308613
20260830,label_independent_contract_fixture_non_model,VOICE_FAKE_PROB,0.18,13053,11744,OK,0.505216583784864,0.49428269728748575,0.3250591849856632,0.9283849713538992,0.40400501826926266,0.5057173027125142,0.5095453807039529,0.49020127797303675,0.5076109704308613,0.5076109704308613
20260830,label_independent_contract_fixture_non_model,MUSIC_FAKE_PROB,0.27,487,121,OK,0.5132095921961793,0.4705098676782731,0.3193275397664152,0.9174193615309088,0.3105505152423789,0.5294901323217269,0.5095453807039529,0.49020127797303675,0.5076109704308613,0.5076109704308613
20260830,label_independent_contract_fixture_non_model,VOICE_PRESENT_PROB,0.05,13174,13053,OK,0.46770224127571447,0.5206538758386818,0.3207561646499472,0.9151815395228363,0.4861879443500872,0.46770224127571447,0.5095453807039529,0.49020127797303675,0.5076109704308613,0.5076109704308613
20260830,label_independent_contract_fixture_non_model,MUSIC_PRESENT_PROB,0.05,13540,487,OK,0.512700314670359,0.4989695304768381,0.3269342358476072,0.9332769781573602,0.4673261564907707,0.512700314670359,0.5095453807039529,0.49020127797303675,0.5076109704308613,0.5076109704308613
20260831,label_independent_contract_fixture_non_model,FILE_FAKE_PROB,0.45,13540,11865,OK,0.49887452748897737,0.5021615059971949,0.32348764293873394,0.9240502615976197,0.3813761743187937,0.4978384940028051,0.4806030394792022,0.488929803204731,0.4814357158517551,0.4814357158517551
20260831,label_independent_contract_fixture_non_model,VOICE_FAKE_PROB,0.18,13053,11744,OK,0.48839502979789884,0.5103081748552778,0.32770458773123856,0.9361992746578568,0.40727293389181024,0.4896918251447222,0.4806030394792022,0.488929803204731,0.4814357158517551,0.4814357158517551
20260831,label_independent_contract_fixture_non_model,MUSIC_FAKE_PROB,0.27,487,121,OK,0.43779072393081336,0.554181908503816,0.3464617066697822,0.9745593278716448,0.33196844824481864,0.445818091496184,0.4806030394792022,0.488929803204731,0.4814357158517551,0.4814357158517551
20260831,label_independent_contract_fixture_non_model,VOICE_PRESENT_PROB,0.05,13174,13053,OK,0.4930591301958386,0.505877500058566,0.32389077741642225,0.9244789224369784,0.48990573931164755,0.4930591301958386,0.4806030394792022,0.488929803204731,0.4814357158517551,0.4814357158517551
20260831,label_independent_contract_fixture_non_model,MUSIC_PRESENT_PROB,0.05,13540,487,OK,0.4848004762136235,0.50717498129172,0.32520893191360767,0.9279840075321353,0.4639672218299367,0.4848004762136235,0.4806030394792022,0.488929803204731,0.4814357158517551,0.4814357158517551
20260832,label_independent_contract_fixture_non_model,FILE_FAKE_PROB,0.45,13540,11865,OK,0.4976286708052657,0.5020350837468788,0.3227496884452476,0.9215048120926782,0.38317431773565724,0.4979649162531212,0.5008495313025301,0.5073079134794771,0.5014953695202248,0.5014953695202248
20260832,label_independent_contract_fixture_non_model,VOICE_FAKE_PROB,0.18,13053,11744,OK,0.5029043324042523,0.49581298800174023,0.32493191677516414,0.9301551297543248,0.406823216241992,0.5041870119982598,0.5008495313025301,0.5073079134794771,0.5014953695202248,0.5014953695202248
20260832,label_independent_contract_fixture_non_model,MUSIC_FAKE_PROB,0.27,487,121,OK,0.48423881136250735,0.49656776407894143,0.33091756826174307,0.9430046001192415,0.3157858778325336,0.5034322359210586,0.5008495313025301,0.5073079134794771,0.5014953695202248,0.5014953695202248
20260832,label_independent_contract_fixture_non_model,VOICE_PRESENT_PROB,0.05,13174,13053,OK,0.5142125587164346,0.5041154530195713,0.32338024641312696,0.9242512859422146,0.48936953994535276,0.5142125587164346,0.5008495313025301,0.5073079134794771,0.5014953695202248,0.5014953695202248
20260832,label_independent_contract_fixture_non_model,MUSIC_PRESENT_PROB,0.05,13540,487,OK,0.5004032682425197,0.49282501870828,0.3270026990518671,0.9327809547131707,0.46646604280219345,0.5004032682425197,0.5008495313025301,0.5073079134794771,0.5014953695202248,0.5014953695202248
