record_type,scope,license_category,license_title,license_url,track_count,allowed
category_summary,all_curated,ALLOW_BY,,,6960,True
category_summary,all_curated,ALLOW_BY_NC,,,8313,True
category_summary,all_curated,ALLOW_BY_NC_SA,,,43512,True
category_summary,all_curated,ALLOW_BY_SA,,,2802,True
category_summary,all_curated,ALLOW_CC0,,,1014,True
category_summary,all_curated,EXCLUDE_CUSTOM,,,603,False
category_summary,all_curated,EXCLUDE_ND,,,42831,False
category_summary,all_curated,EXCLUDE_RESTRICTED,,,451,False
category_summary,all_curated,EXCLUDE_UNKNOWN,,,88,False
license_detail,all_curated,ALLOW_BY,Attribution,http://creativecommons.org/licenses/by/4.0/,4991,True
license_detail,all_curated,ALLOW_BY,Attribution 1.0 Finland,http://creativecommons.org/licenses/by/1.0/fi/,104,True
license_detail,all_curated,ALLOW_BY,Attribution 2.0 France,http://creativecommons.org/licenses/by/2.0/fr/,26,True
license_detail,all_curated,ALLOW_BY,Attribution 2.0 UK: England,http://creativecommons.org/licenses/by/2.0/uk/,7,True
license_detail,all_curated,ALLOW_BY,Attribution 2.5 Canada,http://creativecommons.org/licenses/by/2.5/ca/,1,True
license_detail,all_curated,ALLOW_BY,Attribution 2.5 Italy,http://creativecommons.org/licenses/by/2.5/it/,1,True
license_detail,all_curated,ALLOW_BY,Attribution 3.0 France,http://creativecommons.org/licenses/by/3.0/fr/,16,True
license_detail,all_curated,ALLOW_BY,Attribution 3.0 International,http://creativecommons.org/licenses/by/3.0/,240,True
license_detail,all_curated,ALLOW_BY,Attribution 3.0 Netherlands,http://creativecommons.org/licenses/by/3.0/nl/,34,True
license_detail,all_curated,ALLOW_BY,Attribution 3.0 United States,http://creativecommons.org/licenses/by/3.0/us/,509,True
license_detail,all_curated,ALLOW_BY,Creative Commons Attribution,http://creativecommons.org/licenses/by/3.0/,1031,True
license_detail,all_curated,ALLOW_BY_NC,Attribution NonCommercial 2.5,http://creativecommons.org/licenses/by-nc/2.5/,9,True
