relative_path,file_bytes,extension,file_sha256,derived_type,derived_provider,manifest_status,manifest_row_count_for_path,manifest_candidate_rows,manifest_candidate_original_audio,manifest_row_number,original_audio,generator,type,genre,description,manifest_duration_seconds,path_provider_matches_manifest,path_type_matches_manifest,reference_match_status,reference_fma_track_id,reference_fma_candidate_ids,reference_artist_id,reference_album_id,reference_strict_allowlist,reference_license_category,semantic_pair_group,provider_license_tier,evidence_status,conservative_training_eligibility,training_eligible,signature_status,id3v2_signature,decode_status,ffmpeg_return_code,ffmpeg_wall_timeout,decode_hit_600_second_cap,codec,sample_rate_hz,channels,channel_layout,container_bitrate_kbps,ffmpeg_reported_duration_seconds,decoded_duration_seconds,duration_delta_manifest_minus_decoded,abs_duration_delta_manifest_decoded,decoded_pcm_sha256,decoded_sample_count,peak_abs_normalized,rms_normalized,silent_sample_count,silent_sample_fraction_lt_1e_4,clipped_sample_count,clipped_sample_fraction_ge_0_999,ffmpeg_error_excerpt,issues
ATA/audioldm/10000_People_Chanting_Im_an_Individual_Nihilore_audioldm_ATA_001.mp3,493677,.mp3,5741c9110d4db6f936587217daf052932b7879e9c0d72f5c257fbd7c0eb54861,ATA,audioldm,UNIQUE_MATCH,1,708,"10,000 People Chanting, ""I'm an Individual"" - Nihilore",708,"10,000 People Chanting, ""I'm an Individual"" - Nihilore",audioldm,ATA,Electronic,"cinematic, idm, downtempo, layered, swelling, anthemic, vocal-chants, spacious, emotive, evolving",30.72,True,True,EXACT_UNIQUE,140932,140932,21691,21199,True,ALLOW_BY,fma:140932,OPEN_MODEL_FAMILY_EXACT_REVISION_UNVERIFIED,CONDITIONAL_MODEL_VERSION_AND_OUTPUT_LINEAGE_NOT_PROVEN,CONDITIONAL_HOLD,False,MP3_FRAMES_VALIDATED,True,OK,0,False,False,mp3,16000,1,mono,128,30.72,30.722,-0.0020000000000024443,0.0020000000000024443,0e6e75ccd44bd79a2aa100a407232560217e4be7cf4c55dacb59c1142136876d,491552,0.675750732421875,0.14171734901534708,393,0.0007995084955406549,0,0.0,,
ATA/audioldm/1984_Punk_Rock_Opera_audioldm_ATA_001.mp3,493677,.mp3,87eaca1118cfbf6858e9fc652af006f05139465c8d454a849da7e29f96a44ff1,ATA,audioldm,UNIQUE_MATCH,1,741,1984 - Punk Rock Opera,741,1984 - Punk Rock Opera,audioldm,ATA,Rock,"hardcore-punk, political, d-beat, shouted-chorus, relentless, minor, gritty, urgent, anthemic, abrasive",30.72,True,True,EXACT_AMBIGUOUS,,137212;149410,,,,,unresolved:5eef867e7b083e1b,OPEN_MODEL_FAMILY_EXACT_REVISION_UNVERIFIED,CONDITIONAL_MODEL_VERSION_AND_OUTPUT_LINEAGE_NOT_PROVEN,CONDITIONAL_HOLD,False,MP3_FRAMES_VALIDATED,True,OK,0,False,False,mp3,16000,1,mono,128,30.72,30.722,-0.0020000000000024443,0.0020000000000024443,d0486f425551a149895accdbfd32bcea812c2079a316c50cabfd636e5b33a22b,491552,0.733306884765625,0.1253078803120661,449,0.0009134333702232927,0,0.0,,
ATA/audioldm/2Much_Andy_Spinelli_Alex_Sánchez_House_Edit_Tentacles_audioldm_ATA_001.mp3,493677,.mp3,b40331bc02aca8905fc42ba4e3c83a8c6f030e258958b83af3e4595d16258ac8,ATA,audioldm,UNIQUE_MATCH,1,623,2Much (Andy Spinelli & Alex Sánchez House Edit) - Tentacles,623,2Much (Andy Spinelli & Alex Sánchez House Edit) - Tentacles,audioldm,ATA,Electronic,"house, four-on-the-floor, piano-stabs, filtered, vocal-chops, uplifting, club-ready, sidechained, energetic, glossy",30.72,True,True,EXACT_UNIQUE,114244,114244,19475,17605,True,ALLOW_BY,fma:114244,OPEN_MODEL_FAMILY_EXACT_REVISION_UNVERIFIED,CONDITIONAL_MODEL_VERSION_AND_OUTPUT_LINEAGE_NOT_PROVEN,CONDITIONAL_HOLD,False,MP3_FRAMES_VALIDATED,True,OK,0,False,False,mp3,16000,1,mono,128,30.72,30.722,-0.0020000000000024443,0.0020000000000024443,5ec4a251715d9036aab8f5479bfbf78f6643abf42b3aa6f6c3d0b23865c2f451,491552,0.615020751953125,0.10452553397839374,730,0.0014850921163986719,0,0.0,,
ATA/audioldm/2_Wasnt_There_Isle_of_Pine_audioldm_ATA_001.mp3,493677,.mp3,7d3e90d45c42cdc302e76761406bb7b774b1c15d128c134bce83d634079b83cd,ATA,audioldm,UNIQUE_MATCH,1,844,2 (Wasn't There) - Isle of Pine,844,2 (Wasn't There) - Isle of Pine,audioldm,ATA,Rock,"post-rock, melancholic, clean-guitars, spacious, gradual, instrumental, reverb, drifting, introspective, nocturnal",30.72,True,True,EXACT_UNIQUE,66449,66449,13840,11936,False,OUTSIDE_STRICT_ALLOWLIST,fma:66449,OPEN_MODEL_FAMILY_EXACT_REVISION_UNVERIFIED,CONDITIONAL_MODEL_VERSION_AND_OUTPUT_LINEAGE_NOT_PROVEN,CONDITIONAL_HOLD,False,MP3_FRAMES_VALIDATED,True,OK,0,False,False,mp3,16000,1,mono,128,30.72,30.722,-0.0020000000000024443,0.0020000000000024443,8b5ee3faba2b4c510c23671ca014a6f395e1a6f305051334a7b376c1e5c0bf0f,491552,0.408050537109375,0.06346434104673698,879,0.0017882136579649762,0,0.0,,
ATA/audioldm/3_am_West_End_statusq_audioldm_ATA_001.mp3,493677,.mp3,da8d8609328c3651eb08104f2e6ea7e78cc64c8799502146201d00336bcd6de9,ATA,audioldm,UNIQUE_MATCH,1,604,3 am West End - statusq,604,3 am West End - statusq,audioldm,ATA,Electronic,"chillhop, nocturnal, lofi, warm, headnod, mellow, jazzy, vibey, dusty, relaxed",30.72,True,True,EXACT_UNIQUE,112378,112378,19273,17345,True,ALLOW_BY,fma:112378,OPEN_MODEL_FAMILY_EXACT_REVISION_UNVERIFIED,CONDITIONAL_MODEL_VERSION_AND_OUTPUT_LINEAGE_NOT_PROVEN,CONDITIONAL_HOLD,False,MP3_FRAMES_VALIDATED,True,OK,0,False,False,mp3,16000,1,mono,128,30.72,30.722,-0.0020000000000024443,0.0020000000000024443,87a3450139f11d030b2701153daae32973b4de783b1a299e1796c863b73c622d,491552,0.509674072265625,0.08656856962419464,763,0.0015522264175509407,0,0.0,,
ATA/audioldm/50000_Volts_of_Democracy_mp3_Legally_Blind_audioldm_ATA_001.mp3,493677,.mp3,a55404df1765d3c24ebc6e4688881283d5a120e49cd41ade898761833241b076,ATA,audioldm,UNIQUE_MATCH,1,669,"50,000 Volts of Democracy mp3 - Legally Blind",669,"50,000 Volts of Democracy mp3 - Legally Blind",audioldm,ATA,Rock,"punk-rock, political, sardonic, midtempo, crunchy, chanty, lo-fi, sharp, anthemic, raw",30.72,True,True,EXACT_UNIQUE,130401,130401,21502,19637,True,ALLOW_BY,fma:130401,OPEN_MODEL_FAMILY_EXACT_REVISION_UNVERIFIED,CONDITIONAL_MODEL_VERSION_AND_OUTPUT_LINEAGE_NOT_PROVEN,CONDITIONAL_HOLD,False,MP3_FRAMES_VALIDATED,True,OK,0,False,False,mp3,16000,1,mono,128,30.72,30.722,-0.0020000000000024443,0.0020000000000024443,34f2f6836bb2d59009d9bb1cc01ec5f6d6176e47abd2f26222a5f41e188c8310,491552,0.61767578125,0.08222219605900162,572,0.001163661219972658,0,0.0,,
ATA/audioldm/5_Lexington_Isle_of_Pine_audioldm_ATA_001.mp3,493677,.mp3,0aaa794c076b2fdbea5a7e9561785f66e98182cc5c098316bc606f3d4b73d938,ATA,audioldm,UNIQUE_MATCH,1,842,5 (Lexington) - Isle of Pine,842,5 (Lexington) - Isle of Pine,audioldm,ATA,Rock,"post-rock, clean guitars, spacious, gradual build, introspective, nocturnal, reverb, melodic, patient, instrumental",30.72,True,True,EXACT_UNIQUE,66445,66445,13840,11936,False,OUTSIDE_STRICT_ALLOWLIST,fma:66445,OPEN_MODEL_FAMILY_EXACT_REVISION_UNVERIFIED,CONDITIONAL_MODEL_VERSION_AND_OUTPUT_LINEAGE_NOT_PROVEN,CONDITIONAL_HOLD,False,MP3_FRAMES_VALIDATED,True,OK,0,False,False,mp3,16000,1,mono,128,30.72,30.722,-0.0020000000000024443,0.0020000000000024443,8d54cd70f099e82ba57db41a24ed3215de9464838fc84f73c6bd7c376a21620e,491552,0.72344970703125,0.05282641768823664,1059,0.0021544007551591695,0,0.0,,
ATA/audioldm/6_Coat_of_Arms_Close_Isle_of_Pine_audioldm_ATA_001.mp3,493677,.mp3,9c19e2686fa9ea324af281f92280595682c34df4342ba97977a8c04fca948d79,ATA,audioldm,UNIQUE_MATCH,1,843,"6 (Coat of Arms, Close) - Isle of Pine",843,"6 (Coat of Arms, Close) - Isle of Pine",audioldm,ATA,Rock,"post-rock, clean-guitars, spacious, gradual-build, melancholic, cinematic, reverb, patient, instrumental, nocturnal",30.72,True,True,EXACT_UNIQUE,66446,66446,13840,11936,False,OUTSIDE_STRICT_ALLOWLIST,fma:66446,OPEN_MODEL_FAMILY_EXACT_REVISION_UNVERIFIED,CONDITIONAL_MODEL_VERSION_AND_OUTPUT_LINEAGE_NOT_PROVEN,CONDITIONAL_HOLD,False,MP3_FRAMES_VALIDATED,True,OK,0,False,False,mp3,16000,1,mono,128,30.72,30.722,-0.0020000000000024443,0.0020000000000024443,b60e69dd240a8ab78c333a931b5c0474d37d2bf9c689c2e2b77f2516a66364d4,491552,0.542144775390625,0.06385185215378186,1779,0.0036191491439359416,0,0.0,,
ATA/audioldm/A_Dark_Blue_Arc_Pipe_Choir_audioldm_ATA_001.mp3,493677,.mp3,d93ce4fca15fc372579571eadec71b69532a6b8616138a50a74dbd40fb2ea8f1,ATA,audioldm,UNIQUE_MATCH,1,663,A Dark Blue Arc - Pipe Choir,663,A Dark Blue Arc - Pipe Choir,audioldm,ATA,Rock,"ambient post-rock, luminous, slow build, shimmering guitars, hopeful, expansive, cinematic, soaring, inspirational, crescendo",30.72,True,True,EXACT_UNIQUE,129963,129963,19164,19582,True,ALLOW_BY,fma:129963,OPEN_MODEL_FAMILY_EXACT_REVISION_UNVERIFIED,CONDITIONAL_MODEL_VERSION_AND_OUTPUT_LINEAGE_NOT_PROVEN,CONDITIONAL_HOLD,False,MP3_FRAMES_VALIDATED,True,OK,0,False,False,mp3,16000,1,mono,128,30.72,30.722,-0.0020000000000024443,0.0020000000000024443,f6a9f92ea908a6af27f569afd7389599199f866c0ed838cb53733f70e7b1731e,491552,0.59210205078125,0.09164084783696977,530,0.0010782175639606796,0,0.0,,
ATA/audioldm/A_Different_World_By_Night_Nihilore_audioldm_ATA_001.mp3,493677,.mp3,48309c99b48c8f53ad91475d301e730508281e80a33fc7155bae5bc8e49ecc01,ATA,audioldm,UNIQUE_MATCH,1,707,A Different World By Night - Nihilore,707,A Different World By Night - Nihilore,audioldm,ATA,Electronic,"cinematic, nocturnal, swelling, minor, strings, pulses, widescreen, emotive, evolving, atmospheric",30.72,True,True,EXACT_UNIQUE,140926,140926,21691,21199,True,ALLOW_BY,fma:140926,OPEN_MODEL_FAMILY_EXACT_REVISION_UNVERIFIED,CONDITIONAL_MODEL_VERSION_AND_OUTPUT_LINEAGE_NOT_PROVEN,CONDITIONAL_HOLD,False,MP3_FRAMES_VALIDATED,True,OK,0,False,False,mp3,16000,1,mono,128,30.72,30.722,-0.0020000000000024443,0.0020000000000024443,97920110edfc6551d96d943308fb4e7a0e926e9f14b0510d8230ff47854434c8,491552,0.5594482421875,0.12374975929330918,405,0.0008239209686869345,0,0.0,,
